Flooring,ViewYN,PoolPrivateYN,ClosePrice,Latitude,Longitude,LivingArea,MLSAreaMajor,CountyOrParish,AttachedGarageYN,ParkingTotal,YearBuilt,BathroomsTotalInteger,City,BedroomsTotal,FireplaceYN,Stories,Levels,MainLevelBedrooms,NewConstructionYN,GarageSpaces,HighSchoolDistrict,AssociationFee,LotSizeSquareFeet,SaleYearMonth
,1,0,2550000.0,34.039116,-118.450951,3099.0,WLA - West Los Angeles,Los Angeles,0,2.0,2026.0,5,Los Angeles,4,0,,3,,0,2.0,,,1863.0,2026-05
"Carpet,Vinyl",0,0,660000.0,38.03837439,-120.23472331,1695.0,,Tuolumne,1,1.0,1995.0,2,Twain Harte,3,1,,3,,0,1.0,,,13068.0,2026-05
"Carpet,Tile",0,0,899000.0,37.98000688,-121.70323297,3925.0,,Contra Costa,1,3.0,2006.0,4,Oakley,5,1,2,2,,0,3.0,,,9150.0,2026-05
,0,0,1200000.0,36.96644261,-121.7690864,1838.0,699 - Not Defined,Santa Cruz,0,0.0,1940.0,2,Watsonville,3,1,,0,,0,0.0,Other,,100929.0,2026-05
"Carpet,Wood",1,0,3100000.0,33.865097,-118.392531,2565.0,150 - Hermosa Bch East,Los Angeles,1,2.0,2013.0,3,Hermosa Beach,4,1,,3,1,0,2.0,Hermosa,0.0,2614.0,2026-05
,1,0,780000.0,33.906267,-118.117441,1175.0,"RH - Bellflower N of Alondra, E of Bellflower",Los Angeles,0,2.0,1953.0,2,Bellflower,3,0,1,1,3,0,2.0,Downey Unified,0.0,5158.0,2026-05
,1,1,2475000.0,33.849117,-117.812638,5123.0,77 - Anaheim Hills,Orange,1,3.0,1982.0,5,Anaheim,5,1,2,2,2,0,3.0,Orange Unified,0.0,43607.0,2026-05
,0,0,589000.0,34.046836,-117.387258,1346.0,265 - Bloomington,San Bernardino,0,4.0,1937.0,1,Bloomington,3,1,1,1,3,0,4.0,Colton Unified,0.0,23807.0,2026-05
"Carpet,Laminate",1,0,400000.0,38.16209685,-120.40580964,2000.0,,Calaveras,1,4.0,1991.0,3,Murphys,3,1,2,2,,0,2.0,Bret Harte Union,450.0,9583.0,2026-05
"Carpet,Tile,Wood",0,0,1632000.0,36.97325432,-122.00355459,1705.0,699 - Not Defined,Santa Cruz,0,2.0,1960.0,2,Santa Cruz,3,1,,0,,0,2.0,Other,,6247.0,2026-05
,0,0,545000.0,33.898669,-117.334996,1792.0,252 - Riverside,Riverside,0,0.0,1989.0,2,Riverside,4,0,1,1,4,0,0.0,Riverside Unified,0.0,25700.0,2026-05
"Tile,Wood",1,0,2150000.0,34.039208,-118.411254,1675.0,C08 - Cheviot Hills/Rancho Park,Los Angeles,0,1.0,1929.0,2,Los Angeles,2,1,1,1,,0,,,,5869.0,2026-05
"Tile,Wood",1,0,2995000.0,34.054778000000006,-118.546022,1881.0,C15 - Pacific Palisades,Los Angeles,1,2.0,1959.0,2,Pacific Palisades,3,1,1,1,,0,2.0,,,10053.0,2026-05
,0,0,1325000.0,33.691619,-117.928957,1786.0,C1 - Mesa Verde,Orange,1,2.0,1972.0,2,Costa Mesa,3,1,1,1,3,0,2.0,Newport Mesa Unified,0.0,5000.0,2026-05
,0,0,690000.0,34.346646,-117.608392,2260.0,WRWD - Wrightwood,San Bernardino,1,2.0,2006.0,3,Wrightwood,3,1,2,2,,0,2.0,Snowline Joint Unified,,8246.0,2026-05
"Carpet,Tile,Wood",1,0,4500000.0,37.42674203,-122.20813718,5610.0,699 - Not Defined,San Mateo,1,4.0,1964.0,5,Menlo Park,4,1,,0,,0,2.0,Other,,29591.0,2026-05
"Carpet,Vinyl",1,0,1230000.0,33.723087,-117.81568500000002,1634.0,71 - Tustin,Orange,1,2.0,1968.0,2,Tustin,3,1,1,1,3,0,2.0,Tustin Unified,936.0,5610.0,2026-05
"Tile,Wood",1,0,2715000.0,37.38352592,-122.258407,4000.0,699 - Not Defined,San Mateo,0,5.0,1959.0,4,Woodside,4,1,,0,,0,0.0,Other,,115802.0,2026-05
"Carpet,Laminate",0,0,350000.0,38.03308874,-120.26165579,1631.0,,Tuolumne,1,2.0,1986.0,2,Sonora,3,1,2,2,,0,2.0,,108.0,12053.0,2026-05
Carpet,0,0,394750.0,37.99449728,-120.26227041,2351.0,,Tuolumne,1,2.0,1978.0,2,Soulsbyville,4,1,1,1,,0,2.0,Sonora Union,55.0,17005.0,2026-05
Vinyl,0,0,815000.0,38.02246492,-122.25722915,1405.0,,Contra Costa,1,2.0,1979.0,2,Rodeo,4,1,1,1,,0,2.0,,145.0,10824.0,2026-05
,1,0,1250000.0,35.028863,-120.541081,1669.0,NPMO - Nipomo,San Luis Obispo,1,2.0,2010.0,2,Nipomo,2,1,1,1,2,0,2.0,Lucia Mar Unified,525.0,6652.0,2026-05
"Carpet,Tile",0,0,1555200.0,33.65964,-117.910469,1645.0,C4 - Central Costa Mesa,Orange,1,4.0,1967.0,2,Costa Mesa,4,1,1,1,4,0,2.0,Newport Mesa Unified,0.0,8000.0,2026-05
"Tile,Wood",1,0,1059000.0,35.751275,-120.98261399999998,2414.0,PRNW - PR North 46-West 101,San Luis Obispo,1,6.0,2018.0,3,Bradley,3,1,2,2,2,0,2.0,Paso Robles Joint Unified,3826.42,7800.0,2026-05
,0,0,600000.0,34.217240000000004,-118.443499,877.0,PC - Panorama City,Los Angeles,1,1.0,1949.0,1,Panorama City,2,0,1,1,2,0,1.0,Los Angeles Unified,0.0,5500.0,2026-05
