Flooring,ViewYN,PoolPrivateYN,ClosePrice,Latitude,Longitude,LivingArea,MLSAreaMajor,CountyOrParish,AttachedGarageYN,ParkingTotal,YearBuilt,BathroomsTotalInteger,City,BedroomsTotal,FireplaceYN,Stories,Levels,MainLevelBedrooms,NewConstructionYN,GarageSpaces,HighSchoolDistrict,AssociationFee,LotSizeSquareFeet,SaleYearMonth
,1,0,4950000.0,33.776686,-118.421628,3868.0,160 - Lunada Bay/Margate,Los Angeles,1,2.0,2020.0,5,Palos Verdes Estates,5,1,2,2,1,0,2.0,Palos Verdes Peninsula Unified,0.0,8971.0,2026-04
,0,0,1775000.0,37.46019421,-122.44100976,2460.0,699 - Not Defined,San Mateo,1,2.0,1984.0,4,Half Moon Bay,3,1,,0,,0,2.0,Other,,6000.0,2026-04
,1,0,4410000.0,32.817968,-117.250129,3715.0,92037 - La Jolla,San Diego,1,3.0,2000.0,5,La Jolla,4,1,2,2,1,0,3.0,La Jolla,380.0,6379.0,2026-04
"Carpet,Wood",0,0,1425000.0,34.085264,-118.360196,1339.0,C10 - West Hollywood Vicinity,Los Angeles,0,0.0,1923.0,1,Los Angeles,2,1,1,1,,0,,,,6330.0,2026-04
,1,0,3225000.0,32.929902,-117.206322,3527.0,92130 - Carmel Valley,San Diego,1,3.0,2007.0,4,San Diego,4,1,2,2,1,0,3.0,San Dieguito Union,45.0,8023.0,2026-04
,1,0,4600000.0,33.773277,-118.344414,3946.0,166 - Rolling Hills,Los Angeles,1,3.0,1937.0,5,Rolling Hills,5,1,1,1,4,0,3.0,Palos Verdes Peninsula Unified,9582.7,52458.0,2026-04
Wood,0,0,5650000.0,34.033598,-118.497353,2386.0,C14 - Santa Monica,Los Angeles,0,0.0,1928.0,2,Santa Monica,3,1,2,2,,0,,,,8639.0,2026-04
Wood,1,0,1350000.0,34.090203,-118.197055,1344.0,679 - Montecito Heights,Los Angeles,0,0.0,1966.0,3,Los Angeles,3,1,,0,,0,,,,5558.0,2026-04
,0,0,780000.0,37.95177538,-121.75250013,2461.0,,Contra Costa,1,2.0,2020.0,3,Antioch,5,0,2,2,,0,2.0,,160.0,4225.0,2026-04
"Carpet,Tile",1,0,4221500.0,33.489847999999995,-117.728237,2508.0,MB - Monarch Beach,Orange,1,2.0,1962.0,3,Dana Point,4,1,1,1,3,0,2.0,Capistrano Unified,640.0,10450.0,2026-04
Bamboo,0,0,3000000.0,32.73019856,-117.24427352,3264.0,92107 - Ocean Beach,San Diego,1,8.0,1966.0,3,San Diego,4,1,2,2,,0,2.0,,,,2026-04
Vinyl,1,0,1350000.0,33.527946,-117.11786,2634.0,SRCAR - Southwest Riverside County,Riverside,1,2.0,1978.0,3,Temecula,4,0,1,1,4,0,2.0,Temecula Unified,354.0,22216.0,2026-04
,0,0,582000.0,33.809605,-118.271157,1222.0,139 - South Carson,Los Angeles,1,1.0,1943.0,2,Carson,3,1,1,1,3,0,1.0,Los Angeles Unified,0.0,5721.0,2026-04
"Carpet,Tile,Wood",1,0,870350.0,39.756758000000005,-121.804444,3500.0,,Butte,1,6.0,2008.0,4,Chico,3,1,2,2,1,0,3.0,Chico Unified,0.0,13939.0,2026-04
,0,0,1225000.0,37.3850652,-121.83675683,1752.0,699 - Not Defined,Santa Clara,1,2.0,1954.0,3,San Jose,3,1,,0,,0,2.0,Other,,5000.0,2026-04
"Carpet,Tile,Wood",1,0,3900000.0,37.285694,-121.7605407,6036.0,699 - Not Defined,Santa Clara,1,3.0,2025.0,7,San Jose,7,1,,0,,0,3.0,Other,,28145.0,2026-04
"Carpet,Stone,Tile,Wood",1,1,1150000.0,33.732133000000005,-116.280347,3337.0,"312 - Bermuda Dunes, Myoma",Riverside,1,4.0,1995.0,4,Bermuda Dunes,3,1,1,1,,0,2.0,,214.0,12197.0,2026-04
"Tile,Wood",1,1,650000.0,33.766525,-116.470337,1134.0,336 - Cathedral City South,Riverside,1,4.0,1958.0,2,Cathedral City,3,0,1,1,,0,2.0,,,12632.0,2026-04
,0,0,2140000.0,33.671887,-117.931983,2724.0,C1 - Mesa Verde,Orange,1,2.0,1969.0,3,Costa Mesa,4,1,2,2,1,0,2.0,Newport Mesa Unified,0.0,6890.0,2026-04
,1,0,7350000.0,33.883621000000005,-118.400022,5477.0,144 - Manhattan Bch Hill,Los Angeles,0,3.0,2008.0,6,Manhattan Beach,5,1,,3,1,0,3.0,Manhattan Unified,0.0,6502.0,2026-04
"Tile,Wood",1,0,837000.0,34.063457,-117.905533,1852.0,669 - West Covina,Los Angeles,1,6.0,1961.0,2,West Covina,4,1,1,1,4,0,6.0,West Covina,0.0,9053.0,2026-04
,0,0,1010000.0,37.70965453,-122.4234316,1305.0,,San Francisco,1,1.0,1942.0,2,San Francisco,3,1,,0,,0,1.0,San Francisco Unified,,2627.0,2026-04
SeeRemarks,0,0,1065000.0,37.91579756,-122.28861205,1831.0,,Contra Costa,1,2.0,1952.0,2,El Cerrito,5,1,,0,,0,2.0,,,11275.0,2026-04
,0,0,955000.0,36.82504891,-121.72527184,1302.0,699 - Not Defined,Monterey,0,6.0,1964.0,2,Royal Oaks,3,0,,0,,0,4.0,North Monterey County Unified,,135472.0,2026-04
"Tile,Wood",0,0,730000.0,37.79719769,-122.22112385,1777.0,699 - Not Defined,Alameda,0,1.0,1928.0,2,Oakland,3,1,,0,,0,1.0,Other,,4240.0,2026-04
Carpet,0,0,1975000.0,34.051012,-118.415897,1807.0,C05 - Westwood - Century City,Los Angeles,0,0.0,1940.0,3,Los Angeles,4,0,1,1,,0,,,,5626.0,2026-04
,1,0,1999000.0,32.770349,-117.125398,2664.0,92116 - Normal Heights,San Diego,1,1.0,1988.0,3,San Diego,4,1,,3,2,0,1.0,San Diego Unified,0.0,30492.0,2026-04
,0,0,777777.0,34.127863,-117.546984,1418.0,688 - Rancho Cucamonga,San Bernardino,1,2.0,1989.0,3,Rancho Cucamonga,3,1,2,2,0,0,2.0,Chaffey Joint Union High,0.0,3500.0,2026-04
,1,0,3000000.0,34.142063,-118.831258,3298.0,WV - Westlake Village,Los Angeles,0,2.0,1974.0,3,Westlake Village,4,1,2,2,,0,2.0,,92.0,4869.0,2026-04
"Concrete,Vinyl",1,0,1670000.0,34.242825,-119.066251,2196.0,VC43 - Las Posas Estates,Ventura,1,2.0,1962.0,4,Camarillo,2,1,1,1,,0,2.0,,,60984.0,2026-04
