Flooring,ViewYN,PoolPrivateYN,ClosePrice,Latitude,Longitude,LivingArea,MLSAreaMajor,CountyOrParish,AttachedGarageYN,ParkingTotal,YearBuilt,BathroomsTotalInteger,City,BedroomsTotal,FireplaceYN,Stories,Levels,MainLevelBedrooms,NewConstructionYN,GarageSpaces,HighSchoolDistrict,AssociationFee,LotSizeSquareFeet,SaleYearMonth
"Carpet,Tile,Wood",1,0,1460000.0,36.48526944,-121.72236935,2374.0,699 - Not Defined,Monterey,0,2.0,1978.0,3,Carmel Valley,3,1,,0,,0,2.0,Carmel Unified,,44562.0,2025-04
"Carpet,Laminate",1,1,770000.0,39.763203,-121.878661,2408.0,,Butte,1,3.0,2002.0,2,Chico,3,0,1,1,3,0,3.0,Chico Unified,0.0,10019.0,2025-04
Wood,0,0,1735000.0,37.69420232,-121.86937531,2616.0,,Alameda,1,2.0,1971.0,3,Pleasanton,5,1,2,2,,0,2.0,,36.0,6228.0,2025-04
,0,0,1280000.0,36.97352592,-122.03849267,1199.0,699 - Not Defined,Santa Cruz,0,1.0,1928.0,1,Santa Cruz,2,1,,0,,0,1.0,Other,,7318.0,2025-04
,1,0,1650000.0,32.72631395,-117.25289383,1647.0,92107 - Ocean Beach,San Diego,0,4.0,1955.0,3,San Diego,3,0,1,1,,0,2.0,,,,2025-04
,0,0,437000.0,33.880117,-117.593837,1216.0,699 - Not Defined,Riverside,0,2.0,1955.0,2,Corona,3,1,1,1,3,0,2.0,Corona-Norco Unified,0.0,6970.0,2025-04
Wood,0,0,4475000.0,34.034991999999995,-118.499767,1693.0,C14 - Santa Monica,Los Angeles,0,2.0,1926.0,2,Santa Monica,3,0,1,1,,0,,,,7503.0,2025-04
,0,0,1230000.0,33.594204,-117.692633,2490.0,S2 - Laguna Hills,Orange,1,2.0,1969.0,3,Laguna Hills,4,0,2,2,2,0,2.0,Saddleback Valley Unified,0.0,7656.0,2025-04
Wood,1,0,4825000.0,34.068185,-118.486794,3684.0,C06 - Brentwood,Los Angeles,0,2.0,1952.0,4,Los Angeles,4,1,2,2,,0,2.0,,,9196.0,2025-04
"Carpet,Stone,Wood",1,1,1289900.0,35.636796000000004,-120.669977,2765.0,PRIC - PR Inside City Limit,San Luis Obispo,1,3.0,2001.0,3,Paso Robles,4,1,2,2,1,0,3.0,Paso Robles Joint Unified,0.0,8800.0,2025-04
SeeRemarks,0,0,1800000.0,37.75985949,-122.47980162,2225.0,,San Francisco,1,1.0,1925.0,3,San Francisco,4,1,2,2,,0,1.0,,,2944.0,2025-04
Carpet,0,0,945000.0,34.205689,-118.894137,2029.0,TOW - Thousand Oaks West,Ventura,1,3.0,1986.0,3,Thousand Oaks,3,1,2,2,,0,3.0,,,10541.0,2025-04
"Tile,Wood",0,0,1400000.0,33.684849,-117.910007,1377.0,C3 - South Coast Metro,Orange,1,5.0,1963.0,2,Costa Mesa,3,1,1,1,3,0,2.0,Newport Mesa Unified,0.0,8004.0,2025-04
,1,0,756874.4,34.125781,-117.578059,2349.0,688 - Rancho Cucamonga,San Bernardino,1,2.0,2000.0,2,Rancho Cucamonga,4,1,1,1,4,0,2.0,Chaffey Joint Union High,0.0,7200.0,2025-04
,1,1,1000000.0,33.863744,-116.551649,1216.0,331 - North End Palm Springs,Riverside,1,2.0,1965.0,2,Palm Springs,3,0,1,1,3,0,2.0,Palm Springs Unified,0.0,7841.0,2025-04
,0,0,1310000.0,32.95238688,-117.22963528,1608.0,92130 - Carmel Valley,San Diego,1,2.0,1999.0,4,San Diego,3,0,,3,,0,2.0,,257.0,0.0,2025-04
"Carpet,Stone",1,1,4450000.0,33.683598,-116.397542,3570.0,323 - South Palm Desert,Riverside,1,3.0,2000.0,5,Palm Desert,4,1,1,1,,0,3.0,,1726.0,15682.0,2025-04
,1,1,6050000.0,34.216507,-118.328919,5793.0,610 - Burbank,Los Angeles,1,4.0,2004.0,8,Burbank,5,1,2,2,2,0,4.0,Burbank Unified,614.0,23884.0,2025-04
,1,0,1279000.0,34.131678,-118.355716,1321.0,C03 - Sunset Strip - Hollywood Hills West,Los Angeles,1,2.0,1938.0,2,Los Angeles,3,1,2,2,3,0,2.0,Los Angeles Unified,0.0,4626.0,2025-04
,1,0,1270000.0,33.586884000000005,-117.626875,2498.0,LF - Las Flores,Orange,1,2.0,1998.0,4,Rancho Santa Margarita,4,1,2,2,1,0,2.0,Capistrano Unified,200.0,4224.0,2025-04
,0,0,785000.0,33.85955,-117.447402,2000.0,252 - Riverside,Riverside,1,5.0,2002.0,2,Riverside,4,0,1,1,4,0,3.0,Alvord Unified,273.0,6970.0,2025-04
,0,0,1350000.0,33.649286,-117.938465,1672.0,C2 - Southwest Costa Mesa,Orange,1,1.0,1954.0,2,Costa Mesa,5,0,1,1,5,0,1.0,Newport Mesa Unified,0.0,7260.0,2025-04
,1,0,1775000.0,33.771006,-118.30808799999998,3350.0,193 - San Pedro - North,Los Angeles,1,2.0,2021.0,4,San Pedro,4,0,2,2,1,0,2.0,Los Angeles Unified,300.0,9733.0,2025-04
,0,0,805000.0,34.134995,-118.197155,917.0,618 - Eagle Rock,Los Angeles,0,0.0,1926.0,1,Los Angeles,2,1,1,1,2,0,0.0,Los Angeles Unified,0.0,3513.0,2025-04
,1,1,4050000.0,33.796892,-118.079535,5338.0,51 - Rossmoor,Orange,1,2.0,2015.0,6,Rossmoor,6,1,2,2,1,0,2.0,Los Alamitos Unified,0.0,8640.0,2025-04
,1,0,705000.0,33.060778000000006,-116.80804,1760.0,92065 - Ramona,San Diego,0,12.0,2002.0,2,Ramona,4,0,1,1,,0,2.0,Ramona Unified,0.0,475239.6,2025-04
Laminate,1,0,800000.0,33.497779,-117.133138,2562.0,SRCAR - Southwest Riverside County,Riverside,1,2.0,1974.0,3,Temecula,5,1,2,2,1,0,2.0,Temecula Unified,114.0,10019.0,2025-04
"Carpet,Wood",0,0,1675000.0,37.23835629,-121.85458848,1571.0,,Santa Clara,1,2.0,1968.0,2,San Jose,3,1,1,1,,0,2.0,,,6180.0,2025-04
Tile,0,0,415000.0,37.66202,-120.942581,1408.0,,Stanislaus,1,2.0,1978.0,2,Modesto,3,1,1,1,3,0,2.0,Modesto City,0.0,6167.0,2025-04
"Carpet,Tile,Wood",1,1,1750000.0,33.895412,-117.804669,2562.0,85 - Yorba Linda,Orange,1,2.0,1964.0,3,Yorba Linda,4,1,1,1,4,0,2.0,Placentia-Yorba Linda Unified,0.0,20404.0,2025-04
,0,0,1850000.0,33.852573,-118.366724,2255.0,131 - West Torrance,Los Angeles,0,2.0,1955.0,2,Torrance,4,1,2,2,2,0,2.0,Torrance Unified,0.0,7401.0,2025-04
,0,0,1100000.0,32.968327,-117.131538,1798.0,92129 - Rancho Penasquitos,San Diego,1,2.0,1982.0,2,San Diego,3,1,1,1,,0,2.0,Poway Unified,0.0,6091.0,2025-04
"Carpet,Tile",1,0,735000.0,34.129151,-117.706877,1846.0,683 - Claremont,Los Angeles,1,2.0,1977.0,2,Claremont,3,0,1,1,3,0,2.0,Claremont Unified,0.0,15291.0,2025-04
,1,0,541000.0,33.95046,-117.045207,1628.0,263 - Banning/Beaumont/Cherry Valley,Riverside,1,2.0,2025.0,2,Beaumont,3,0,1,1,3,1,2.0,Beaumont,146.0,5000.0,2025-04
,1,0,1220000.0,34.132917,-118.707797,1731.0,CLB - Calabasas,Los Angeles,1,2.0,1988.0,3,Calabasas,3,1,2,2,3,0,2.0,Las Virgenes,0.0,5336.0,2025-04
,0,0,830000.0,34.280452000000004,-118.410701,1514.0,PAC - Pacoima,Los Angeles,0,0.0,1950.0,2,Pacoima,3,1,1,1,3,0,0.0,Los Angeles Unified,0.0,7848.0,2025-04
,0,0,1000000.0,37.35558451,-121.84211135,1271.0,699 - Not Defined,Santa Clara,1,2.0,2000.0,3,San Jose,3,1,,0,,0,2.0,Other,124.0,3300.0,2025-04
Laminate,1,0,935000.0,33.800364,-117.939666,1125.0,"61 - N of Gar Grv, S Of Ball, E of Knott, W of Dal",Orange,1,6.0,1955.0,2,Garden Grove,3,1,1,1,3,0,2.0,Anaheim Union High,0.0,7204.0,2025-04
Tile,1,0,1715000.0,32.79121894,-117.20138809,1991.0,92117 - Clairemont Mesa,San Diego,1,4.0,1982.0,3,San Diego,3,1,,3,,0,2.0,,149.0,2871.0,2025-04
,0,0,3686000.0,37.27000546,-121.99966125,2245.0,699 - Not Defined,Santa Clara,1,2.0,1960.0,3,Saratoga,4,1,,0,,0,2.0,Other,,14259.0,2025-04
